s,x,y,curvature
0.000000000000000000e+00,3.839285671710969128e-01,9.985652565956121274e-01,-3.329057721928111846e+02
7.147962830593281112e-04,3.813505271385526640e-01,9.992811130849218459e-01,5.967080195028098899e+01
1.429592566118656222e-03,3.787743772295324995e-01,1.000023240892616627e+00,-2.751920791144559786e+01
2.144388849177984550e-03,3.759052312868049195e-01,1.000103369280293197e+00,2.269506615539162055e+02
2.859185132237312445e-03,3.735392128935615674e-01,9.987638765497832694e-01,-4.317241691954872067e+02
3.573981415296640339e-03,3.707367214822095969e-01,9.986807949893871106e-01,2.131075878680599089e+02
4.288777698355969101e-03,3.683552458270919483e-01,9.974004384767561904e-01,-4.514946308630214844e+02
5.003573981415296995e-03,3.656917934435857109e-01,9.969209153549938307e-01,5.528898110949029387e+02
5.718370264474624889e-03,3.632859368158211644e-01,9.957095542549266876e-01,8.937596761130981804e+01
6.433166547533952784e-03,3.609293779708877548e-01,9.943580868277172025e-01,-7.979375984095090644e+02
7.147962830593280678e-03,3.582742878478494264e-01,9.938548590605014166e-01,2.862713570769997773e+02
7.862759113652608572e-03,3.558348332301564665e-01,9.927389764010763340e-01,-1.418837372733233337e+02
8.577555396711938202e-03,3.530955701417407000e-01,9.924749052026048401e-01,2.651421641228825479e+02
9.292351679771266096e-03,3.506319223837955357e-01,9.914277656303029929e-01,2.320211808844120753e+02
1.000714796283059399e-02,3.483044368034484140e-01,9.899937114776908853e-01,-9.105178693931495673e+02
1.072194424588992188e-02,3.456173401414234791e-01,9.895814179775090924e-01,3.806388033493630019e+02
1.143674052894924978e-02,3.435559625890092228e-01,9.873913334217003790e-01,-4.185373638474462723e+02
1.215153681200857767e-02,3.408548910367377727e-01,9.870187512274218866e-01,6.674602544779355640e+02
1.286633309506790557e-02,3.386804569982268531e-01,9.851498347772141839e-01,-7.062661249811448272e+01
1.358112937812723346e-02,3.365233040587877200e-01,9.832318464352446385e-01,-2.793122753807641629e+02
1.429592566118656136e-02,3.338549855191334514e-01,9.827661807229719493e-01,7.365991195492746328e+02
1.501072194424589099e-02,3.316757823760158042e-01,9.809108516577813575e-01,-1.141613512021144032e+02
1.572551822730521714e-02,3.294319077930784601e-01,9.792392556223291633e-01,8.372990664733121946e+01
1.644031451036454677e-02,3.272973605610996484e-01,9.772570244595549793e-01,-4.891339090952978950e+02
1.715511079342387640e-02,3.245938781450314337e-01,9.768912830709569617e-01,5.572392042369949650e+02
1.786990707648320256e-02,3.224481137380504903e-01,9.749409050113865272e-01,-7.530052920474955158e+01
1.858470335954253219e-02,3.202270445126959020e-01,9.732045392468249290e-01,-2.051962913242186204e+01
1.929949964260185835e-02,3.180107997968223965e-01,9.714543982147447743e-01,1.433668627774502511e+02
2.001429592566118798e-02,3.157476116107389985e-01,9.698376752444607396e-01,-4.156276829020534933e+02
2.072909220872051414e-02,3.131618099512538667e-01,9.691375468806980864e-01,1.320169937110356955e+02
2.144388849177984377e-02,3.110053212186343341e-01,9.672176437036316132e-01,1.182494577552332693e+01
2.215868477483916993e-02,3.087930758317002922e-01,9.654562047709370765e-01,-1.130496067501554336e+01
2.287348105789849956e-02,3.065844391279901049e-01,9.636844410696955299e-01,2.045501214028297987e+00
2.358827734095782919e-02,3.043769384048412574e-01,9.619094900348915678e-01,-2.764258349919161417e-01
2.430307362401715535e-02,3.021689826327484951e-01,9.601358222907230289e-01,1.036476827010334584e-02
2.501786990707648498e-02,2.999611425392726960e-01,9.583618685063330922e-01,-7.543760401199893668e-03
2.573266619013581114e-02,2.977532461322152102e-01,9.565879968468498085e-01,1.197556819168343022e-02
2.644746247319514076e-02,2.955453960021527382e-01,9.548140700761525990e-01,-8.837674943286660811e-03
2.716225875625446692e-02,2.933375125915807513e-01,9.530401839188168411e-01,1.038676794412810717e-02
2.787705503931379655e-02,2.911296417542947879e-01,9.512662812566174964e-01,-1.505134010082235900e-02
2.859185132237312271e-02,2.889217585335338567e-01,9.494923957469980635e-01,9.631964433107742182e-03
2.930664760543245234e-02,2.867139058128528872e-01,9.477184711242500059e-01,-6.505986927008446628e-03
3.002144388849178197e-02,2.845060254238083730e-01,9.459445814448187440e-01,7.700990529496267584e-03
3.073624017155110813e-02,2.822981529943941470e-01,9.441706809198867623e-01,-1.352523844659379512e-02
3.145103645461043429e-02,2.800902713076225403e-01,9.423967948362182989e-01,1.044383604025027334e-02
3.216583273766976392e-02,2.778824164221572190e-01,9.406228838571207840e-01,-4.172285229868039937e-03
3.288062902072909355e-02,2.756745398318472540e-01,9.388489884022318543e-01,1.252547754438961729e-03
3.359542530378842318e-02,2.734666674416589283e-01,9.370750877344433682e-01,9.524104317364992175e-03
3.431022158684775281e-02,2.712588232364830931e-01,9.353011676350240222e-01,-2.151352737426612954e-02
3.502501786990707550e-02,2.690509311052066144e-01,9.335272995857112344e-01,1.385905199556896304e-02
3.573981415296640513e-02,2.668430847945468809e-01,9.317533863940848926e-01,-3.625120626307723470e-02
3.645461043602573475e-02,2.646351283480443128e-01,9.299795235759921175e-01,2.246343033023388558e-01
3.716940671908506438e-02,2.624272263380403869e-01,9.282056630767259175e-01,-9.383933692759751644e-01
3.788420300214438707e-02,2.602218420763081630e-01,9.264305601928185530e-01,-1.406549313016350000e+00
3.859899928520371670e-02,2.579964424516414390e-01,9.246650637783321303e-01,2.358446009877360794e+01
3.931379556826304633e-02,2.558575473300320202e-01,9.228581011486023389e-01,-1.489373044379890416e+02
4.002859185132237596e-02,2.535783331694226872e-01,9.211183895870234117e-01,1.099067169707939911e+03
4.074338813438170559e-02,2.526845611904389166e-01,9.187145944239433204e-01,-1.632431971191455204e+02
4.145818441744102828e-02,2.502786317786286907e-01,9.170356193189673766e-01,-1.022572189300632672e+01
4.217298070050035791e-02,2.480871874791961973e-01,9.152538621552219755e-01,3.831228068323024871e+00
4.288777698355968754e-02,2.459207635901595468e-01,9.134600930227730897e-01,-3.296305120545968492e+01
4.360257326661901717e-02,2.434571910737375611e-01,9.118087642465495524e-01,3.273694699616123103e+02
4.431736954967833986e-02,2.427317678043314220e-01,9.093242685133341441e-01,-9.403119120644266786e+02
4.503216583273766949e-02,2.403641723664111940e-01,9.076269112994496124e-01,7.008562449292527674e+01
4.574696211579699912e-02,2.379567541315144308e-01,9.059486699732767212e-01,4.406883389245210196e+02
4.646175839885632874e-02,2.372698396770592244e-01,9.034457260112266352e-01,-7.448060125907041993e+02
4.717655468191565837e-02,2.348685057419816757e-01,9.017645556486995062e-01,1.871854761338990158e+01
4.789135096497498106e-02,2.324599579114616510e-01,9.000868520785419991e-01,6.065333494550802698e+02
4.860614724803431069e-02,2.317944378631231483e-01,8.975736462731838117e-01,-5.704587673244304824e+02
4.932094353109364032e-02,2.293153645653158157e-01,8.959297195904376565e-01,7.316007428187067774e+01
5.003573981415296995e-02,2.271662543240773324e-01,8.941276643985569539e-01,-6.918639124129265516e-01
5.075053609721229264e-02,2.249519062978100614e-01,8.923568650914290856e-01,-4.446009573753696431e-01
5.146533238027162227e-02,2.227349027206483034e-01,8.905873580390227806e-01,4.843285132764254541e+00
5.218012866333095190e-02,2.205918439323806268e-01,8.887823661799678643e-01,-8.889873020529415726e+01
5.289492494639028153e-02,2.181214290788672516e-01,8.871343272804184110e-01,6.884103451998495302e+02
5.360972122944961116e-02,2.174498438450237214e-01,8.846240329301477967e-01,-4.924726045872369014e+02
5.432451751250893385e-02,2.150413331315934873e-01,8.829463085069478856e-01,-5.312275593758452175e+01
5.503931379556826348e-02,2.126583409182679352e-01,8.812563440149016047e-01,8.780555302302678911e+02
5.575411007862759311e-02,2.119421770522505466e-01,8.787674123240072355e-01,-3.488432613833180653e+02
5.646890636168692273e-02,2.095442226856296664e-01,8.770846348482819188e-01,-1.028667159644638076e+02
5.718370264474624542e-02,2.072126472210217007e-01,8.753700218385224163e-01,1.049132051676952415e+03
5.789849892780557505e-02,2.064377917189182399e-01,8.729092358770145221e-01,-2.613589785273373991e+02
5.861329521086490468e-02,2.039758622729567206e-01,8.712571197507800180e-01,5.919870169424069672e+01
5.932809149392423431e-02,2.018179274396761369e-01,8.694592655974047180e-01,-1.649035319524947454e+02
6.004288777698356394e-02,1.999802696815810854e-01,8.675079274892436576e-01,2.241082012696437005e+02
6.075768406004288663e-02,1.985899746206113425e-01,8.653421192943272500e-01,2.390557337781821445e+01
6.147248034310221626e-02,1.963200061393446383e-01,8.635980087050678655e-01,-1.594713096923730511e+01
6.218727662616154589e-02,1.939584873233683726e-01,8.618977458133411096e-01,8.136495425262442893e+01
6.290207290922086858e-02,1.928840870938482999e-01,8.595805475920772487e-01,-7.063321905190169900e+02
6.361686919228019821e-02,1.907787348088571533e-01,8.577575234279082306e-01,1.977066309262822870e+02
6.433166547533952784e-02,1.884410905089785870e-01,8.560458205753928018e-01,1.211910898221564139e+02
6.504646175839885747e-02,1.875010449880666341e-01,8.536642103873542942e-01,-9.646640717242095207e+02
6.576125804145818710e-02,1.851432610736784556e-01,8.519621683889141428e-01,1.221944978522016925e+02
6.647605432451751672e-02,1.839626122589765600e-01,8.496958805916255963e-01,-4.478193271941872808e+02
6.719085060757684635e-02,1.819841375986914755e-01,8.478120242655248218e-01,2.231461322771489506e+02
6.790564689063617598e-02,1.796641715069297873e-01,8.460918562501623663e-01,5.857784088412836354e+01
6.862044317369550561e-02,1.785955962328768520e-01,8.437718539534339035e-01,-7.593874571994577991e+02
6.933523945675482136e-02,1.764701749040192835e-01,8.419584261173183037e-01,1.934029974213190997e+02
7.005003573981415099e-02,1.741287991226485588e-01,8.402485212295162098e-01,1.330469697152983031e+02
7.076483202287348062e-02,1.732102994868937318e-01,8.378565820887081683e-01,-9.862383753156217381e+02
7.147962830593281025e-02,1.708310245984989706e-01,8.361648479592630467e-01,1.304052042095715933e+02
7.219442458899213988e-02,1.696684522455324806e-01,8.338899196288126481e-01,-4.134190407372462914e+02
7.290922087205146951e-02,1.676297595483654534e-01,8.320349271690332671e-01,4.431342620322848092e+01
7.362401715511079914e-02,1.660745839554351178e-01,8.299481686214570386e-01,-3.320295832504024247e+01
7.433881343817012877e-02,1.644365069012404257e-01,8.279011481974453135e-01,-3.188065010700608681e+01
7.505360972122945840e-02,1.624822690119910040e-01,8.260056663948156519e-01,3.047385783900843990e+02
7.576840600428877415e-02,1.611765941169219230e-01,8.237993142209288910e-01,3.093459037107563958e+01
7.648320228734810378e-02,1.588835077938046680e-01,8.220662618278374856e-01,-2.204714739717663861e+02
7.719799857040743341e-02,1.571299281218198063e-01,8.200746057273687883e-01,1.343929528790824577e+02
7.791279485346676303e-02,1.556375965536187789e-01,8.179577173842340621e-01,1.053505570328172780e+02
7.862759113652609266e-02,1.533498473027596343e-01,8.162221061814324274e-01,-1.315151968969408074e+02
7.934238741958542229e-02,1.517924877724648181e-01,8.141363944346194925e-01,-6.775498649892824687e+01
8.005718370264475192e-02,1.501015018236727672e-01,8.121147350090101025e-01,1.906089143394538894e+02
8.077197998570408155e-02,1.478099774814391754e-01,8.103809260517194080e-01,-5.424049108153395338e+01
8.148677626876341118e-02,1.464522222924325989e-01,8.081995380062995116e-01,-2.852071508526757384e+02
8.220157255182272693e-02,1.445739406248678915e-01,8.062676554853991373e-01,2.406150383989024419e+02
8.291636883488205656e-02,1.422674184305777467e-01,8.045410416086230532e-01,1.769087645055493851e+01
8.363116511794138619e-02,1.411005488836320765e-01,8.022681493075708437e-01,-5.630809754117161674e+02
8.434596140100071582e-02,1.390559401810951279e-01,8.004159932489794960e-01,2.122868121756076789e+02
8.506075768406004545e-02,1.367293075039213435e-01,7.986990207469948366e-01,8.939053436796727681e+01
8.577555396711937508e-02,1.357260834973607055e-01,7.963476932571068589e-01,-8.073524371742613539e+02
8.649035025017870471e-02,1.334401174432192638e-01,7.946112200553285820e-01,1.031433597081601903e+02
8.720514653323803433e-02,1.321649632864404789e-01,7.923902385054463204e-01,-2.831483991595929410e+02
8.791994281629736396e-02,1.302424331932647006e-01,7.904795657570420353e-01,1.929289394263416568e+01
8.863473909935667971e-02,1.285739205037454980e-01,7.884471340521829186e-01,3.787344102123773837e+01
8.934953538241600934e-02,1.270116800495289244e-01,7.863637557547614731e-01,1.270218008820041007e+02
9.006433166547533897e-02,1.247259092403560227e-01,7.846271986730346537e-01,-1.059183702484892393e+02
9.077912794853466860e-02,1.232159839028316439e-01,7.825187753381782629e-01,-8.593775338486801729e+01
9.149392423159399823e-02,1.214893238547846838e-01,7.805142133885211164e-01,-2.115658427639096928e+01
9.220872051465332786e-02,1.196535538150272776e-01,7.785619816135387339e-01,1.424315856324758442e+02
9.292351679771265749e-02,1.180657996000078619e-01,7.764908383500817024e-01,8.829640616051183315e+02
9.363831308077198712e-02,1.171373998548386336e-01,7.741036551563774681e-01,-1.340117041519974634e+02
9.435310936383131675e-02,1.160549669488966235e-01,7.717903101359032680e-01,-1.036828010530965912e+03
9.506790564689063250e-02,1.135969450129682978e-01,7.701363244275343245e-01,1.575085729956406055e+02
9.578270192994996213e-02,1.125543094654165716e-01,7.678039078222173019e-01,-8.974722726122952281e+02
9.649749821300929176e-02,1.106575864948770721e-01,7.658808645325484443e-01,8.196259410452180418e+02
9.721229449606862139e-02,1.095789053268617086e-01,7.635657031514216930e-01,-1.388154933135877513e+02
9.792709077912795101e-02,1.071563290958956055e-01,7.618947189088359773e-01,9.669673395743768651e+02
9.864188706218728064e-02,1.063394983395848092e-01,7.594540442344436260e-01,-2.621714838774414034e+02
9.935668334524661027e-02,1.037083795415629645e-01,7.578830216381614582e-01,8.737805713302827826e+02
1.000714796283059399e-01,1.030108410344637848e-01,7.553851780939464522e-01,-3.431966373683658844e+02
