s,x,y,curvature
0.000000000000000000e+00,5.341246128082275391e-01,8.404992818832395240e-01,2.803058141452351038e+02
5.002501250625312297e-04,5.328497794901885243e-01,8.418447730796382311e-01,4.852995975159680029e+02
1.000500250125062459e-03,5.310590440418865299e-01,8.418829504356768467e-01,-7.957156775989216158e+01
1.500750375187593581e-03,5.292555602811410687e-01,8.418888231295900137e-01,1.564692750697329338e+01
2.001000500250124919e-03,5.274483166119509070e-01,8.418851680657761793e-01,-4.049595209154109199e+00
2.501250625312656257e-03,5.256436883075551458e-01,8.418881405145770547e-01,1.111317152854195101e+01
3.001500750375187161e-03,5.238362075743434598e-01,8.418838846073164461e-01,-5.995094825320879295e+01
3.501750875437718499e-03,5.220205264074742058e-01,8.418588478510827811e-01,5.686722054891971112e+01
4.002001000500249837e-03,5.203507168271114258e-01,8.422034665299187317e-01,-3.848913630838233644e+02
4.502251125562781175e-03,5.189989111224492246e-01,8.433539437304329311e-01,7.391184266966578207e+02
5.002501250625312514e-03,5.171512235172156524e-01,8.432477989656399497e-01,-1.086694362059921275e+02
5.502751375687843852e-03,5.153573635367231232e-01,8.432780596142172014e-01,1.107759081346004848e+01
6.003001500750374322e-03,5.135494755506269104e-01,8.432727716773983362e-01,1.791774570460745730e+00
6.503251625812905660e-03,5.117438376004300737e-01,8.432731855911033136e-01,-1.295064614692127192e+00
7.003501750875436999e-03,5.099379460130131214e-01,8.432729567657220038e-01,-3.218920898456186785e-01
7.503751875937968337e-03,5.081329399846635786e-01,8.432749720000999316e-01,6.650678338580035209e+00
8.004002001000499675e-03,5.063239387115547885e-01,8.432668630333601811e-01,-4.280233204610551923e+01
8.504252126063030146e-03,5.045232274112749771e-01,8.432797613804116077e-01,2.006983714782421089e+02
9.004502251125562351e-03,5.027630636320787882e-01,8.433954172058750753e-01,-7.457760201361294321e+02
9.504752376188092822e-03,5.014603590524844279e-01,8.446703196717949558e-01,1.075528846981722836e+03
1.000500250125062503e-02,4.996403540869420734e-01,8.446343261226523236e-01,-1.610345517087912413e+02
1.050525262631315550e-02,4.978562987086831426e-01,8.446894318087396769e-01,1.028150200082078385e+02
1.100550275137568770e-02,4.960009790639774430e-01,8.445639505454327622e-01,-5.441015379834078658e+02
1.150575287643821817e-02,4.946042576920532952e-01,8.456005714896642766e-01,2.284003573712675461e+02
1.200600300150074864e-02,4.929947565725421033e-01,8.460980020384121225e-01,5.034581981489788660e+01
1.250625312656328085e-02,4.911680681710718921e-01,8.460450734598893296e-01,5.120377174536652376e+01
1.300650325162581132e-02,4.893625625545907631e-01,8.460458226975666740e-01,-1.338043602285947564e+01
1.350675337668834353e-02,4.875574885631722699e-01,8.460476656864598377e-01,2.358052348900427475e+00
1.400700350175087400e-02,4.857514337230324775e-01,8.460470231734713575e-01,-4.523838631760252471e-01
1.450725362681340620e-02,4.839457319111676870e-01,8.460472752504810678e-01,9.365470002345890332e-01
1.500750375187593667e-02,4.821399326304332544e-01,8.460472803346439363e-01,-3.758164419357918007e+00
1.550775387693846888e-02,4.803327011111251377e-01,8.460436559667939838e-01,-3.489660002527730676e+00
1.600800400200099935e-02,4.785374309091086631e-01,8.460703429058558100e-01,8.089272169164033244e+01
1.650825412706352982e-02,4.766855290115756261e-01,8.459535188364705194e-01,-5.713366335504441622e+02
1.700850425212606029e-02,4.752964762927261999e-01,8.470096060092792145e-01,2.520398521736891553e+02
1.750875437718859423e-02,4.736767634260165560e-01,8.474811747341991497e-01,3.285897261940093017e+01
1.800900450225112470e-02,4.718518773435463887e-01,8.474328117483004297e-01,5.277117821449669322e+01
1.850925462731365517e-02,4.700450226821631938e-01,8.474301424582788567e-01,-1.101974796750245922e+01
1.900950475237618564e-02,4.682491316936703285e-01,8.474552555160144163e-01,6.310047744865551067e+01
1.950975487743871958e-02,4.663969635930934610e-01,8.473377605872651763e-01,-4.662532121098527114e+02
2.001000500250125005e-02,4.649780472727585989e-01,8.483181388094244157e-01,1.708781346513654569e+02
2.051025512756378053e-02,4.633945137153092086e-01,8.488813719631211896e-01,9.536086740342435064e+01
2.101050525262631100e-02,4.615631967706370631e-01,8.488167145139501324e-01,3.664894992358048853e+01
2.151075537768884147e-02,4.597587043893027747e-01,8.488200313199446567e-01,-1.435928687577312424e+01
2.201100550275137541e-02,4.579535559324389160e-01,8.488216856147700051e-01,2.815532595937791260e+00
2.251125562781390588e-02,4.561472879655913970e-01,8.488205030112762062e-01,-2.371334851435514146e+00
2.301150575287643635e-02,4.543423575892323596e-01,8.488227100052652130e-01,1.218676307366963840e+01
2.351175587793896682e-02,4.525357769016811194e-01,8.488207349045446826e-01,-6.512637481233748815e+01
2.401200600300149729e-02,4.507146701598423455e-01,8.487819489173016319e-01,3.209670304175991973e+00
2.451225612806403123e-02,4.490746392247403351e-01,8.492020322645360553e-01,-3.023658323343627217e+02
2.501250625312656170e-02,4.477012994717762817e-01,8.502979452959525952e-01,6.361182126436829094e+02
2.551275637818909217e-02,4.458504357285057451e-01,8.501837512478872538e-01,-9.211235860353305327e+01
2.601300650325162264e-02,4.440558205258218205e-01,8.502120982209152578e-01,6.509538562455795763e+00
2.651325662831415658e-02,4.422483225747705915e-01,8.502077986561374923e-01,2.960309173311236552e+00
2.701350675337668705e-02,4.404425845053424049e-01,8.502079588572654112e-01,-1.008761694732807968e+00
2.751375687843921752e-02,4.386368308587739184e-01,8.502080795839208616e-01,1.796642207766616650e-01
2.801400700350174799e-02,4.368310124168092723e-01,8.502080361107269280e-01,-2.388362973921004731e-02
2.851425712856427847e-02,4.350252146882074844e-01,8.502080451278499762e-01,2.058084524284946846e-04
2.901450725362681241e-02,4.332194129854547993e-01,8.502080440739676614e-01,5.952539884505257629e-05
2.951475737868934288e-02,4.314136112206972129e-01,8.502080428630015563e-01,-8.012479725134268255e-04
3.001500750375187335e-02,4.296078136520606328e-01,8.502080522851327427e-01,2.614661220165196212e-02
3.051525762881440382e-02,4.278019951933091369e-01,8.502080087710988110e-01,-1.881229674482418068e-01
3.101550775387693776e-02,4.259962378151699869e-01,8.502081200371245373e-01,1.040283418491533940e+00
3.151575787893946823e-02,4.241905321775108484e-01,8.502083624150413854e-01,-2.519787257202654729e+00
3.201600800400199870e-02,4.223828925603499984e-01,8.502037040323011663e-01,-8.133471892991121166e+00
3.251625812906452917e-02,4.205885808222377120e-01,8.502328188851179247e-01,9.804669728707384024e+01
3.301650825412705964e-02,4.187386121891312762e-01,8.501208975371911114e-01,-6.720650658598308382e+02
3.351675837918959011e-02,4.173732552376518967e-01,8.512369965656297888e-01,3.306442700245866035e+02
3.401700850425212058e-02,4.157225514442959291e-01,8.516300189555316980e-01,-2.215329597634627490e+01
3.451725862931465799e-02,4.139033961311629484e-01,8.515961793892317111e-01,6.332852122888423452e+01
3.501750875437718846e-02,4.120964847632507810e-01,8.515933867420584225e-01,-1.174862717339210327e+01
3.551775887943971893e-02,4.102915275746408241e-01,8.515955233641006039e-01,1.891351920092523065e+00
3.601800900450224940e-02,4.084855032957754872e-01,8.515949589160355382e-01,-1.683545526785646673e-01
3.651825912956477987e-02,4.066797382765485747e-01,8.515950507185539031e-01,-4.562988885547587803e-02
3.701850925462731035e-02,4.048739349426957457e-01,8.515950455374807770e-01,2.021408234740873153e-02
3.751875937968984082e-02,4.030681328360103954e-01,8.515950434572369110e-01,-3.676054361215703396e-03
3.801900950475237129e-02,4.012623318735196731e-01,8.515950443087459965e-01,5.681947856695751357e-04
3.851925962981490176e-02,3.994565305365316843e-01,8.515950440703553559e-01,-3.332677743236987398e-04
3.901950975487743917e-02,3.976507292349633627e-01,8.515950441538113758e-01,1.633148957847766663e-03
3.951975987993996964e-02,3.958449275605750439e-01,8.515950451365915663e-01,-3.179135169695841831e-04
4.002001000500250011e-02,3.940391297579248775e-01,8.515950363054293204e-01,-2.310278822567307308e-02
4.052026013006503058e-02,3.922333113419878003e-01,8.515950797115892090e-01,1.769511109403378579e-01
4.102051025512756105e-02,3.904275588027261157e-01,8.515949561835486348e-01,-9.986796099980853603e-01
4.152076038019009152e-02,3.886218106394337402e-01,8.515948215667866750e-01,3.101444266016418982e+00
4.202101050525262199e-02,3.868143582650891976e-01,8.515990054724161817e-01,5.989684466911485039e+00
4.252126063031515246e-02,3.850196391801045670e-01,8.515709228373256057e-01,-9.020028037893681017e+01
4.302151075537768293e-02,3.831685367535516140e-01,8.516857172966815215e-01,6.247858910106172061e+02
4.352176088044022034e-02,3.817926031080414728e-01,8.505964196799341570e-01,-2.934863569989111625e+02
4.402201100550275081e-02,3.801560496302718861e-01,8.501675406079597375e-01,-2.886370568206045650e+00
4.452226113056528128e-02,3.783343077048239023e-01,8.502079346686770567e-01,-6.573723804022345973e+01
4.502251125562781175e-02,3.765278445564966270e-01,8.502096118456727858e-01,1.232090947257458780e+01
4.552276138069034223e-02,3.747228578045783687e-01,8.502075477890730371e-01,-2.072312334606456030e+00
4.602301150575287270e-02,3.729168103333333484e-01,8.502081716293983238e-01,3.950951760381771760e-01
4.652326163081540317e-02,3.711110941108681227e-01,8.502079560691594429e-01,-9.942197055385881832e-01
4.702351175587793364e-02,3.693053735207370014e-01,8.502077515729632440e-01,2.660113340681392380e+00
4.752376188094046411e-02,3.674977849502347738e-01,8.502122807789902481e-01,7.542216972184243140e+00
4.802401200600299458e-02,3.657033661999045671e-01,8.501834359705194855e-01,-9.587985868506395093e+01
4.852426213106553199e-02,3.638530424967669763e-01,8.502962614875588798e-01,6.588021073671430941e+02
4.902451225612806246e-02,3.624847844197529589e-01,8.491874708371339731e-01,-3.201863081516086140e+02
4.952476238119059293e-02,3.608379589508630136e-01,8.487846057104129205e-01,1.524310482764321151e+01
5.002501250625312340e-02,3.590180946191871558e-01,8.488202432708928935e-01,-6.407053249533406358e+01
5.052526263131565387e-02,3.572113338379517833e-01,8.488226747552325424e-01,1.186618995378536745e+01
5.102551275637818434e-02,3.554061708565650068e-01,8.488210571878986865e-01,-5.089062465187679241e-01
